Review Date,Review Text,Rating
"March 4, 2024",Had an amazing dinner with family. Today our special day . It was great dayThe staff were amazingly friendly. Made our special night very special. Thank you.,5.0
"March 4, 2024",Tonight dinner was wonderful dinner. I went my full family to enjoy our dinner. Food taste 💯/ 💯. All over excellent. Service was very good.,5.0
"March 4, 2024",Wide spread of buffet dinner. Really enjoyed it with our whole family. Delicious. My favourite place in Dhaka city. Thanks to all of you.,5.0
"February 27, 2024",Food at Seasonal taste was really delicious. Particularly the dessert section. Really enjoyed it. Service was excillent,5.0
"February 26, 2024",It was a great experience considering both the food and ambience. Top notch service. Hope to come again... Thank you 😍😍😍,5.0
"February 26, 2024","Very good service, friendly & helpful staffs. Good was great 👍🏼 Family loved the experience. Would love to visit again Insha Allah",5.0
"February 26, 2024",The food is really fresh and good.....the ambience is really nice...the staffs are also very friendly..definitely a 5 start,5.0
"February 25, 2024",Service has been top notch over the years. The food is exceptional. The rooms are clean. Very excellent service. Thanks,5.0
"February 25, 2024","Very gentle environment, good food, relaxing Interior space. Everyone service was excellent. Service also. Staff are very polite",5.0
"February 25, 2024",The food was pretty Delightful. Loved the environment and service. Well organinized. Thanks to all & seasonal tastes.,5.0
"February 25, 2024",A great place for a family dinner with a wide variety of items and an amazing atmosphere . Food was amazing. Service was excellent. Thanks to all,5.0
"February 24, 2024","Awesome place and delicious food. Cozy for kids too !! Every staff are very friendly, excellent service. Specially thanks to all staff",5.0
"February 24, 2024",Every food was amazing. Every staff are very friendly and polite. Very good environment. Specially thanks to Ms Nahar. She is very friendly,5.0
"February 24, 2024","Food was good , table location was strategic and alot of effort in making our dinner meeting with partners fruitful. Manager was great and Ms Nahar was helpful and attentive to all our request on the table.",5.0
"February 23, 2024",Excellent food and atmosphere. We will be there again to crave this foods. Highly recommended for food lovers . Thank you to all off you.,5.0
"February 23, 2024","Westin is the best hotel at dhaka city. We all are just loved this place. There food, staff behaviour all excellent. Thank you to all of you.",5.0
"February 23, 2024",Today we did our business meeting at seasonal taste is was a wonderful brunch. There food was yummy and delicious. All people behavior is excellent. I m so happy .,5.0
"February 23, 2024",The food is vary taste and well cooked.we like it and hope we will come in again so soon. Everyone service was excellent. 🥰,5.0
"February 23, 2024","One of the best services I got from any restaurant, food quality is super great as well.Would recommend anyone to come and visit",5.0
"February 23, 2024",Both the food and service quality was very good and the hygiene was perfectly maintained....and the interior was well decorated..,5.0
"February 21, 2024",Excellent service. Every food is very delicious. Environment also amazing. Thanks to ms Nahar. She is very helpful. Rafiq is very proactive,5.0
"February 21, 2024",First of All Food quality very good .I think next also maintain also this quality .If some inrease Food item Is also good for us .Best wishes,5.0
"February 21, 2024","Great service and food. Every food is very delicious, environment is very wonderful. All staff are very friendly, specially thanks to Ms Nahar. And rofiqe is very friendly",5.0
"February 20, 2024",exelent bruch! service was excellent too. Nahar our special hostness was very courtious n very attendtive..good luck.,5.0
"February 20, 2024",Celebrating International Mother Language Day at the Westin Dhaka with their amazing buffer lunch. Highly recommended for anyone visiting this part of the town.,5.0
"February 20, 2024","The environment food quality is excellent. Every Staff are very friendly, polite. Every food quality is best food quality in buffet",5.0
"February 20, 2024",I liked the ambience and the attitude of the stuff. Nahar has specially assisted us and helped us. She has a good personality and is charming. We are delighted and will come again.,5.0
"February 20, 2024","Alhamdulillah, great ambience with extraordinary taste and standard of food except some items of fish. Simple menus came up with unexplored taste. Obviously the staff were so cordial.",5.0
"February 20, 2024",Everything was very good and fine.Specially service was awesome and so cordial beyond the expectations.thanks ms ishrat.,5.0
"February 18, 2024","The food is really fresh and good..also great service..good behavior. There food also very yummy. Specially tempura, Desert very delicious",5.0
"February 16, 2024",Very Excellent service and food. Again we will visit for the excellent service. Food was amazing just like breath taking.,5.0
"February 16, 2024",Such an Excellent environment for family and testy food of course. Nice cooperation and friendly behavior have all staff. Thanks,5.0
"February 16, 2024",I have been coming to Westin for a very long time. Love their service and food quality is out of the world.specifically thanks to Ms Nahar & Rofiq. Best buffet in the city for sure!♥️❤️,5.0
"February 16, 2024",One of the best buffets i have had in Dhaka.. The ambience was pretty good too and so was the service Definitely recommended.,5.0
"February 13, 2024","The hospitality was delightful. Loved the food especially the kebab. The appetiser was good, hopping to be here soon again!",5.0
"February 13, 2024","Westin Dhaka's buffet offers diverse, high-quality dishes in a luxurious setting, with standout foods and desserts.",5.0
"February 13, 2024","Exilent hospitale great food test . All food are delicious and all staff are really nice and also there service. Dessert, shushi, shashimi was excellent.and also thanks ms. Falguni for her hospitality",5.0
"February 13, 2024",Ms. Falguni was perfect. Thank you for your service. The time was very early like 6.00 am but Ms. Falguni was always posstive and had smiliy face.,5.0
"February 12, 2024",Really amazing taste with great and honourable hospitality . Their service was excellent 👌. This is my first time there. Wonderful restaurant 😍🥰,5.0
"February 12, 2024",Food is awesome and very delicious with a very decent hospitality really amazed. I went today for my special day😍 really enjoyed this day,5.0
"February 12, 2024",Food was sumptuous. Service is excellent. It was a family gathering and we really enjoyed the food as well as the cozy environment.,5.0
"February 12, 2024",We are very happy to have a nice dinner here. Service was excellent. Food quality was one of the best buffet in Bangladesh.,5.0
"February 11, 2024","Its a Great experience Really it will be memorable Birthday, All stuff was cordial FEROZ, SAGOR,FALGUNI, SHANTA APU ND Bhaias best, Thanks A lot , I will come again IA Best wishes,,",5.0
"February 11, 2024",Today is my wife birthday . Its a special day for us . There all person are make my day very special they cut a cake for my wife . All food & service is excellent i m so happy .,5.0
"February 11, 2024",I m regular person . They are just wow....there food is yummy than others pleace. I just loved there food ....service is excelent. Best hotel in dhaka.,5.0
"February 11, 2024",The food was really good and so was the service. Five stars! Loved the variation in cuisines. Would recommend to everyone.,5.0
"February 11, 2024","Very nice buffet dinner arranged, excellent service, specially thanks Ms. Nahar, staff are very friendly. Regards Rony",5.0
"February 9, 2024","In one word ""Splendid"". Food tastes in heavenly per se. Everything is excellent, service also great , specially in brunch.",5.0
"February 9, 2024","The food was really good with there being a range of cuisines to choose from. The dessert section was filled with tarts, cakes and ice creams which were the best way to end the meal.",5.0
"February 9, 2024",Excellent food and service 👌 seasonal taste restaurant. We are happy. Staff behavior just good 👍 special thanks Ms Ishrat very nice person and very helpful 😊,5.0
"February 9, 2024",Food is too much good. Nihari was fantastic. Service was too much good.we are always enjoying Westin first class service. I think they are the number one five star hotels in Bangladesh. Best wishes for them. Sharan is very humble. He serve us very well,5.0
"February 9, 2024","The food and the service is great! Thanks sharan, Clinton. We had a grate time with Arabic food kebab & dessert. Environment is good",5.0
"February 9, 2024","Seasonal taste is amazing today vs. usual Friday ( we were here today 09/02/24). The valentine decorations, very caring & courteous team of Hotel officials and staffs. And all the food was just fresh from the oven …loved it even more today with our guests...More",5.0
"February 8, 2024","Dining in Westin is always a great experience. Mouth watering food, awesome service n great ambience. Every staff is very friendly",5.0
"February 8, 2024",Had a blast with my best friend for sure . Service is good. food is best good quality. Staf is very friendly. Best buffet in Bangladesh,5.0
"February 7, 2024","Together buffet lunch at westin Dhaka , seasonal taste restaurant 😍 all food very yummy this is 3rd time I went there. All about just excellent 👌👌👌",5.0
"February 7, 2024",Everything was good. But the menu was better before than this time. I would suggest add some more soup options. Other then that everything was amazing,5.0
"February 5, 2024","Yes, it is a great place to go out with my family. We really enjoyed the food. Service is very excellent, Every staff is friendly .",5.0
"February 4, 2024","This is really wonderful experience. We went together for lunch at seasonal taste, The Westin Dhaka. All food just yummy. Specially main Course is so delicious 🤤🤤🤤. Specially thanks to mr.Shakhawat for invitation",5.0
"February 4, 2024",Is was a very nice day & lunch also at Westin Dhaka. All food was delicious and so yummy 🥰all good 👍🏽 bc bc……………………………..,5.0
"January 31, 2024",Today we went seasonal taste restaurant for our business meeting... We are so happy for there service. Just wow❤️ food tast 100/100👌 all are so kind. Everything is excellent 👌💯,5.0
"January 25, 2024",Today we went for Brunch. Breakfast plus lunch. Amazing choice of delicious food along with 3 fresh tasty juice. Top notch custom service from all staff. Also we got complimentary pool access which was an added bonus. Will definitely recommend everyone to visit.,5.0
"January 25, 2024","We tried like all the buffet restaurant in Bangladesh,but westin buffet is best of best. Super food & service. Staff are really well trained Sharan & Clinton serve us very well ..we all love westin food always",5.0
"January 24, 2024",Food is great in general. Would have loved the sushi to be a bit more fresh. The sushi rice fell a bit stale in comparison.,5.0
"January 24, 2024",Their food was very fresh and tasty. I often have lunch here with my family and friends. Their behavior was also very good.,5.0
"January 23, 2024",Its been a great experience. Food was lovely and the ambience was too. But the most commendable of them all would be their top notch service and food quality. Absolute banger. Would recommend to all.,5.0
"January 22, 2024","Everything's was Perfect. Attentive service. Food are so delicious. Staff r so friendly and helpful , Recommend .*****",5.0
"December 11, 2023",The foood and everything was very good Saron and falguni their behaviour was also good and very kind Will come here again. Highly recommended,5.0
"December 8, 2023","Just went to the Westin dhaka for brunch, the food, ambience and the service was pretty amazing. The staffs were very welcoming specially Ms Falguni. Hoping to visit here soon.",5.0
"December 6, 2023",Overall it is good. But I will recommend to taste to biriyani its too good. Highly recommended thanks falguni,5.0
"December 6, 2023",Nice environment. Food quality is very good. Staff are very friendly. Mr nikson & rafique is very good. Thank for a nice dinner.,5.0
"December 5, 2023",The foods are very tasty and delicious specially the continental. The hospitality the receive are amazing.,5.0
"December 5, 2023","everybodys service is excillence, Food was amazing and the surprise they gave me was quite impressive. Worth it.",5.0
"December 3, 2023","This place is nice to hang out and food also. I like sushi, oriental food, dessert and live cooking foods. The place is cool indeed.",5.0
"December 2, 2023","Great atmosphere , delicious food, we had a mutton rezala .. Which is really delicious .. Sweety is very kind & giving us wonderfull service . Thanks falguni and sagor",5.0
"December 2, 2023",Seasonal tastes is best restaurant in Dhaka city. Good food best service.Really we enjoyed here. Very nice environment. Thanks falguni and sagor. We will come again….,5.0
"December 1, 2023",Seasonal taste Best restaurant..... delicious food. Grilled and matun nehari Best..... Service just excellent Staff good behaviour thanks,5.0
"November 29, 2023","The food that they serve are in very high quality which is undeniably satisfactory. On the the contrary, it is also quite delicious.",5.0
"November 25, 2023","I explain my todays lunch experience.... It was an Awesome experience... I went there with my mom,kids, & husband.... So beautiful Place i love this. All food is just wow..... All staff are so friendly.....",5.0
"November 23, 2023","Westin brunch, is best brunch i ever seen. It's wonderful always. I love this place. Food quality Just wow. Service experience 👌👌👌👌",5.0
"November 23, 2023",Its our family time with my wife & baby boy. We are very happy to spent our quality time at Westin dhaka. Special thanks all Staff they are superb. 👌👌👌,5.0
"November 23, 2023",I went today in seasonal taste restaurant....And I have a awesome experience.. & next time I will go there with my friends... All food & staff are very friendly and helpful. Service experience is wowww..👌👌👌,5.0
"November 23, 2023",Today enjoying my lunch with my family member. Its really wonderful time. I really highly appreciate all Staff. They are really very friendly. All food yummy... Thanks to all.,5.0
"November 23, 2023",The food quality and variety of items are excellent . Service is as usual up to the mark . Best buffet resturent in Bangladesh . Recommended place for family dinner and specially with foreign guest ….,5.0
"November 21, 2023",From the greeting step everything is perfect. food and service is up to the mark.all staff r super friendly.,5.0
"November 21, 2023",We enjoyed a lot the Buffet food r so delicious staff r friendly and helpful. 5 star service*****. recommended,5.0
"November 16, 2023","Impeccable service, luxurious amenities, and attention to detail made my stay at the 5-star hotel truly exceptional. The staff went above and beyond to ensure a memorable experience. Every aspect, from the elegant decor to the gourmet dining, exceeded my expectations. A truly indulgent escape.",5.0
"November 16, 2023",Very nice moment....i enjoying my time with my brother . Seasonal taste food review just awsome. All are providing me a great service. All over its a beautiful & enjoybale day for me,5.0
"November 16, 2023",Today I went westin Dhaka to haveing my lunch with my wife . Today our anniversary & we spent our quality time . It’s really very memorable. All staff are very friendly. Thanks to all of you. 🤝😍,5.0
"November 16, 2023",Great food with a calm ambience. We were well attended to and had a good experience overall. I particularly liked the sushis and the salads. The desserts were amazing as well .,5.0
"November 16, 2023",The environment is well.Good service.Food is well.Highly recommended .mutton nihari was very best . Highly recommend.and falguni,5.0
"November 13, 2023","It was amazing a lot of choices clean and delicious, specially Ms. Falguni and she do very nice service and she is so helpful , thanks a lot for hospitality and warm welcoming,",5.0
"October 25, 2023",Seasonal taste restaurant we get yummy foods.tempura as always wonderful.service as always very good.. ..... very friendly ishrat thanks everyone,5.0
"October 20, 2023","Seasonal taste best of food. I love Grilled items. Mutton nihari, and cheese cake Just wow. Service was good. Thanks everyone Staff behaviour good.",5.0
